Messstelle:                Schönenbach (Hengstig)
HZB-Nummer:                200287
HD-Nummer:                 
DBMS-Nummer:               8001028
Gewässer:                  Subersach
Sachgebiet:                OWF
Dienststelle:              HD-Vorarlberg
Messstellenbetreiber:      Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: 31.1
Pegelnullpunkt:
  gültig seit:             Höhe [m ü.A.]:
   01.01.1976              980.75
   01.01.1989              980.75
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             Länge (Grad,Min,Sek):    Breite  (Grad,Min,Sek):
   01.01.1941              10 02 28                 47 23 11
Exportzeitreihe:           Abfluss,I,Mit,T,1,F,Z,0,,,
Exportqualität:            MAXQUAL
Einheit:                   m³/s
Exportzeitraum:            Beginn der ZR bis 01.01.2011 00:00
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               wertabh. (Q)
Werte:
01.01.1951 00:00:00        0.210
02.01.1951 00:00:00        0.210
03.01.1951 00:00:00        0.210
04.01.1951 00:00:00        0.260
05.01.1951 00:00:00        0.260
06.01.1951 00:00:00        0.300
07.01.1951 00:00:00        0.300
08.01.1951 00:00:00        0.350
09.01.1951 00:00:00        0.300
10.01.1951 00:00:00        0.260
11.01.1951 00:00:00        0.260
12.01.1951 00:00:00        0.260
13.01.1951 00:00:00        0.300
14.01.1951 00:00:00        0.350
15.01.1951 00:00:00        0.300
16.01.1951 00:00:00        0.300
17.01.1951 00:00:00        0.300
18.01.1951 00:00:00        0.400
19.01.1951 00:00:00        0.520
20.01.1951 00:00:00        0.580
21.01.1951 00:00:00        0.710
22.01.1951 00:00:00        0.790
23.01.1951 00:00:00        0.710
24.01.1951 00:00:00        0.640
25.01.1951 00:00:00        0.520
26.01.1951 00:00:00        0.460
27.01.1951 00:00:00        0.300
28.01.1951 00:00:00        0.300
29.01.1951 00:00:00        0.300
30.01.1951 00:00:00        0.260
31.01.1951 00:00:00        0.210
01.02.1951 00:00:00        0.210
02.02.1951 00:00:00        0.210
03.02.1951 00:00:00        0.210
04.02.1951 00:00:00        0.170
05.02.1951 00:00:00        0.100
06.02.1951 00:00:00        0.100
07.02.1951 00:00:00        0.100
08.02.1951 00:00:00        0.100
09.02.1951 00:00:00        0.100
10.02.1951 00:00:00        0.120
11.02.1951 00:00:00        0.140
12.02.1951 00:00:00        0.210
13.02.1951 00:00:00        0.260
14.02.1951 00:00:00        0.260
15.02.1951 00:00:00        0.210
16.02.1951 00:00:00        0.210
17.02.1951 00:00:00        0.170
18.02.1951 00:00:00        0.170
19.02.1951 00:00:00        0.140
20.02.1951 00:00:00        0.140
21.02.1951 00:00:00        0.120
22.02.1951 00:00:00        0.140
23.02.1951 00:00:00        0.140
24.02.1951 00:00:00        0.170
25.02.1951 00:00:00        0.170
26.02.1951 00:00:00        0.140
27.02.1951 00:00:00        0.140
28.02.1951 00:00:00        0.140
01.03.1951 00:00:00        0.140
02.03.1951 00:00:00        0.140
03.03.1951 00:00:00        0.140
04.03.1951 00:00:00        0.140
05.03.1951 00:00:00        0.120
06.03.1951 00:00:00        0.120
07.03.1951 00:00:00        0.120
08.03.1951 00:00:00        0.170
09.03.1951 00:00:00        0.210
10.03.1951 00:00:00        0.300
