Messstelle:                Ebensee (Unterlangbath)
HZB-Nummer:                205229
HD-Nummer:                 4490
DBMS-Nummer:               4001070
Gewässer:                  Langbathbach
Sachgebiet:                OWF
Dienststelle:              HD-Oberösterreich
Messstellenbetreiber:      Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: 37.8
Pegelnullpunkt:
  gültig seit:             Höhe [m ü.A.]:
   01.01.1957              431.17
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             Länge (Grad,Min,Sek):    Breite  (Grad,Min,Sek):
   01.01.1901              13 46 17                 47 48 51
Exportzeitreihe:           Abfluss,I,Mit,T,1,F,Z,0,,,
Exportqualität:            MAXQUAL
Einheit:                   m³/s
Exportzeitraum:            Beginn der ZR bis 01.01.2011 00:00
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               wertabh. (Q)
Werte:
01.01.1976 00:00:00        0.763
02.01.1976 00:00:00        0.793
03.01.1976 00:00:00        0.863
04.01.1976 00:00:00        0.746
05.01.1976 00:00:00        0.672
06.01.1976 00:00:00        0.821
07.01.1976 00:00:00        1.25
08.01.1976 00:00:00        1.95
09.01.1976 00:00:00        1.48
10.01.1976 00:00:00        1.81
11.01.1976 00:00:00        5.39
12.01.1976 00:00:00        6.56
13.01.1976 00:00:00        5.00
14.01.1976 00:00:00        3.55
15.01.1976 00:00:00        3.17
16.01.1976 00:00:00        1.95
17.01.1976 00:00:00        1.68
18.01.1976 00:00:00        1.31
19.01.1976 00:00:00        1.11
20.01.1976 00:00:00        1.06
21.01.1976 00:00:00        1.40
22.01.1976 00:00:00        2.17
23.01.1976 00:00:00        3.91
24.01.1976 00:00:00        3.59
25.01.1976 00:00:00        2.06
26.01.1976 00:00:00        1.31
27.01.1976 00:00:00        1.04
28.01.1976 00:00:00        0.894
29.01.1976 00:00:00        0.804
30.01.1976 00:00:00        0.693
31.01.1976 00:00:00        0.641
01.02.1976 00:00:00        0.567
02.02.1976 00:00:00        0.515
03.02.1976 00:00:00        0.463
04.02.1976 00:00:00        0.421
05.02.1976 00:00:00        0.407
06.02.1976 00:00:00        0.374
07.02.1976 00:00:00        0.369
08.02.1976 00:00:00        0.368
09.02.1976 00:00:00        0.367
10.02.1976 00:00:00        0.359
11.02.1976 00:00:00        0.329
12.02.1976 00:00:00        0.326
13.02.1976 00:00:00        0.327
14.02.1976 00:00:00        0.328
15.02.1976 00:00:00        0.329
16.02.1976 00:00:00        0.336
17.02.1976 00:00:00        0.367
18.02.1976 00:00:00        0.371
19.02.1976 00:00:00        0.372
20.02.1976 00:00:00        0.373
21.02.1976 00:00:00        0.373
22.02.1976 00:00:00        0.374
23.02.1976 00:00:00        0.375
24.02.1976 00:00:00        0.383
25.02.1976 00:00:00        0.415
26.02.1976 00:00:00        0.442
27.02.1976 00:00:00        0.518
28.02.1976 00:00:00        0.536
29.02.1976 00:00:00        0.574
01.03.1976 00:00:00        0.740
02.03.1976 00:00:00        0.859
03.03.1976 00:00:00        0.757
04.03.1976 00:00:00        0.677
05.03.1976 00:00:00        0.574
06.03.1976 00:00:00        0.517
07.03.1976 00:00:00        0.473
08.03.1976 00:00:00        0.457
09.03.1976 00:00:00        0.422
10.03.1976 00:00:00        0.417
11.03.1976 00:00:00        0.415
12.03.1976 00:00:00        0.407
13.03.1976 00:00:00        0.374
14.03.1976 00:00:00        0.403
15.03.1976 00:00:00        0.348
16.03.1976 00:00:00        0.345
17.03.1976 00:00:00        0.304
18.03.1976 00:00:00        0.313
19.03.1976 00:00:00        0.438
20.03.1976 00:00:00        0.410
21.03.1976 00:00:00        0.394
22.03.1976 00:00:00        0.352
23.03.1976 00:00:00        0.315
24.03.1976 00:00:00        0.322
25.03.1976 00:00:00        0.353
26.03.1976 00:00:00        0.379
27.03.1976 00:00:00        0.400
28.03.1976 00:00:00        0.503
29.03.1976 00:00:00        0.521
30.03.1976 00:00:00        0.521
31.03.1976 00:00:00        0.622
01.04.1976 00:00:00        0.833
02.04.1976 00:00:00        0.958
03.04.1976 00:00:00        0.971
04.04.1976 00:00:00        0.989
05.04.1976 00:00:00        1.05
06.04.1976 00:00:00        1.08
07.04.1976 00:00:00        1.03
08.04.1976 00:00:00        0.661
09.04.1976 00:00:00        0.603
10.04.1976 00:00:00        0.664
11.04.1976 00:00:00        0.702
12.04.1976 00:00:00        0.570
13.04.1976 00:00:00        0.724
14.04.1976 00:00:00        0.526
15.04.1976 00:00:00        0.463
16.04.1976 00:00:00        0.447
17.04.1976 00:00:00        0.412
18.04.1976 00:00:00        0.420
19.04.1976 00:00:00        0.483
20.04.1976 00:00:00        0.571
21.04.1976 00:00:00        0.579
22.04.1976 00:00:00        0.581
23.04.1976 00:00:00        0.593
24.04.1976 00:00:00        0.636
25.04.1976 00:00:00        0.672
26.04.1976 00:00:00        1.09
27.04.1976 00:00:00        2.37
28.04.1976 00:00:00        1.80
29.04.1976 00:00:00        1.28
30.04.1976 00:00:00        1.11
01.05.1976 00:00:00        0.903
02.05.1976 00:00:00        0.760
03.05.1976 00:00:00        0.648
04.05.1976 00:00:00        0.638
05.05.1976 00:00:00        0.636
06.05.1976 00:00:00        0.624
07.05.1976 00:00:00        0.610
08.05.1976 00:00:00        0.701
09.05.1976 00:00:00        0.740
10.05.1976 00:00:00        0.841
11.05.1976 00:00:00        0.835
12.05.1976 00:00:00        0.784
13.05.1976 00:00:00        0.762
14.05.1976 00:00:00        0.714
15.05.1976 00:00:00        0.708
16.05.1976 00:00:00        0.679
17.05.1976 00:00:00        0.583
18.05.1976 00:00:00        0.562
19.05.1976 00:00:00        0.511
20.05.1976 00:00:00        0.464
21.05.1976 00:00:00        0.446
22.05.1976 00:00:00        0.863
23.05.1976 00:00:00        2.97
24.05.1976 00:00:00        1.98
25.05.1976 00:00:00        1.90
26.05.1976 00:00:00        1.97
27.05.1976 00:00:00        2.15
28.05.1976 00:00:00        1.96
29.05.1976 00:00:00        1.66
30.05.1976 00:00:00        1.76
31.05.1976 00:00:00        2.16
01.06.1976 00:00:00        8.93
02.06.1976 00:00:00       12.8
03.06.1976 00:00:00       15.8
04.06.1976 00:00:00        6.22
05.06.1976 00:00:00        2.72
06.06.1976 00:00:00        2.05
07.06.1976 00:00:00        1.74
08.06.1976 00:00:00        1.35
09.06.1976 00:00:00        1.70
10.06.1976 00:00:00        1.65
11.06.1976 00:00:00        1.63
12.06.1976 00:00:00        1.61
13.06.1976 00:00:00        1.50
14.06.1976 00:00:00        1.41
15.06.1976 00:00:00        1.33
16.06.1976 00:00:00        1.06
17.06.1976 00:00:00        0.823
18.06.1976 00:00:00        0.668
19.06.1976 00:00:00        0.691
20.06.1976 00:00:00        0.645
21.06.1976 00:00:00        0.624
22.06.1976 00:00:00        0.555
23.06.1976 00:00:00        0.456
24.06.1976 00:00:00        0.402
25.06.1976 00:00:00        0.360
26.06.1976 00:00:00        0.345
27.06.1976 00:00:00        0.314
28.06.1976 00:00:00        0.310
29.06.1976 00:00:00        0.310
30.06.1976 00:00:00        0.309
01.07.1976 00:00:00        0.309
02.07.1976 00:00:00        0.308
03.07.1976 00:00:00        0.308
04.07.1976 00:00:00        0.307
05.07.1976 00:00:00        0.307
06.07.1976 00:00:00        0.300
07.07.1976 00:00:00        0.271
08.07.1976 00:00:00        0.267
09.07.1976 00:00:00        0.266
10.07.1976 00:00:00        0.266
11.07.1976 00:00:00        0.265
12.07.1976 00:00:00        0.264
13.07.1976 00:00:00        0.258
14.07.1976 00:00:00        0.231
15.07.1976 00:00:00        0.228
16.07.1976 00:00:00        0.227
17.07.1976 00:00:00        0.226
18.07.1976 00:00:00        0.226
19.07.1976 00:00:00        0.225
20.07.1976 00:00:00        0.219
21.07.1976 00:00:00        0.195
22.07.1976 00:00:00        0.229
23.07.1976 00:00:00        0.822
24.07.1976 00:00:00        2.90
25.07.1976 00:00:00        1.53
