Messstelle:                St. Peter/Freienstein
HZB-Nummer:                211193
HD-Nummer:                 ow2705
DBMS-Nummer:               6001069
Gewässer:                  Vordernberger Bach
Sachgebiet:                OWF
Dienststelle:              HD-Steiermark
Messstellenbetreiber:      Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: 167.3
Pegelnullpunkt:
  gültig seit:             Höhe [m ü.A.]:
   01.01.1976              571.35
   01.01.1979              595.02
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             Länge (Grad,Min,Sek):    Breite  (Grad,Min,Sek):
   01.01.1953              15 02 03                 47 23 38
   01.01.1979              15 02 02                 47 23 41
Exportzeitreihe:           Abfluss,I,Mit,T,1,F,Z,0,,,
Exportqualität:            MAXQUAL
Einheit:                   m³/s
Exportzeitraum:            Beginn der ZR bis 01.01.2011 00:00
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               wertabh. (Q)
Werte:
01.01.1966 00:00:00        1.28
02.01.1966 00:00:00        1.28
03.01.1966 00:00:00        1.17
04.01.1966 00:00:00        1.06
05.01.1966 00:00:00        0.950
06.01.1966 00:00:00        0.880
07.01.1966 00:00:00        0.880
08.01.1966 00:00:00        0.880
09.01.1966 00:00:00        0.800
10.01.1966 00:00:00        0.730
11.01.1966 00:00:00        0.800
12.01.1966 00:00:00        0.800
13.01.1966 00:00:00        0.800
14.01.1966 00:00:00        0.800
15.01.1966 00:00:00        0.650
16.01.1966 00:00:00        0.650
17.01.1966 00:00:00        0.650
18.01.1966 00:00:00        0.730
19.01.1966 00:00:00        0.730
20.01.1966 00:00:00        0.730
21.01.1966 00:00:00        0.730
22.01.1966 00:00:00        0.730
23.01.1966 00:00:00        0.800
24.01.1966 00:00:00        0.950
25.01.1966 00:00:00        0.950
26.01.1966 00:00:00        0.950
27.01.1966 00:00:00        0.950
28.01.1966 00:00:00        1.06
29.01.1966 00:00:00        0.950
30.01.1966 00:00:00        0.950
31.01.1966 00:00:00        0.880
01.02.1966 00:00:00        0.950
02.02.1966 00:00:00        1.06
03.02.1966 00:00:00        1.06
04.02.1966 00:00:00        1.06
05.02.1966 00:00:00        1.17
06.02.1966 00:00:00        1.17
07.02.1966 00:00:00        1.28
08.02.1966 00:00:00        1.17
09.02.1966 00:00:00        1.39
10.02.1966 00:00:00        1.64
11.02.1966 00:00:00        1.64
12.02.1966 00:00:00        1.92
13.02.1966 00:00:00        2.06
14.02.1966 00:00:00        1.92
15.02.1966 00:00:00        1.92
16.02.1966 00:00:00        1.78
17.02.1966 00:00:00        1.78
18.02.1966 00:00:00        1.78
19.02.1966 00:00:00        1.64
20.02.1966 00:00:00        1.78
21.02.1966 00:00:00        1.78
22.02.1966 00:00:00        2.06
23.02.1966 00:00:00        2.36
24.02.1966 00:00:00        2.20
25.02.1966 00:00:00        2.06
26.02.1966 00:00:00        2.06
27.02.1966 00:00:00        2.06
28.02.1966 00:00:00        2.20
01.03.1966 00:00:00        2.20
02.03.1966 00:00:00        2.20
03.03.1966 00:00:00        2.06
04.03.1966 00:00:00        2.06
05.03.1966 00:00:00        1.92
06.03.1966 00:00:00        1.92
07.03.1966 00:00:00        1.92
08.03.1966 00:00:00        1.92
09.03.1966 00:00:00        1.78
10.03.1966 00:00:00        1.92
11.03.1966 00:00:00        1.92
12.03.1966 00:00:00        1.92
13.03.1966 00:00:00        1.92
14.03.1966 00:00:00        1.78
15.03.1966 00:00:00        1.64
16.03.1966 00:00:00        1.64
17.03.1966 00:00:00        1.64
18.03.1966 00:00:00        1.64
19.03.1966 00:00:00        1.64
20.03.1966 00:00:00        1.64
21.03.1966 00:00:00        1.50
22.03.1966 00:00:00        1.64
23.03.1966 00:00:00        1.64
24.03.1966 00:00:00        1.78
25.03.1966 00:00:00        1.78
26.03.1966 00:00:00        1.78
27.03.1966 00:00:00        1.78
28.03.1966 00:00:00        1.78
29.03.1966 00:00:00        1.78
30.03.1966 00:00:00        1.64
31.03.1966 00:00:00        1.64
01.04.1966 00:00:00        1.50
02.04.1966 00:00:00        1.50
03.04.1966 00:00:00        1.64
04.04.1966 00:00:00        1.50
05.04.1966 00:00:00        1.50
06.04.1966 00:00:00        1.78
07.04.1966 00:00:00        1.78
08.04.1966 00:00:00        2.20
09.04.1966 00:00:00        2.52
10.04.1966 00:00:00        2.84
11.04.1966 00:00:00        3.00
12.04.1966 00:00:00        3.37
13.04.1966 00:00:00        3.19
14.04.1966 00:00:00        3.19
15.04.1966 00:00:00        3.56
16.04.1966 00:00:00        3.74
17.04.1966 00:00:00        3.93
18.04.1966 00:00:00        3.74
19.04.1966 00:00:00        3.74
20.04.1966 00:00:00        3.93
21.04.1966 00:00:00        3.93
22.04.1966 00:00:00        3.74
23.04.1966 00:00:00        3.74
24.04.1966 00:00:00        3.74
25.04.1966 00:00:00        3.93
26.04.1966 00:00:00        4.57
27.04.1966 00:00:00        4.79
28.04.1966 00:00:00        5.24
29.04.1966 00:00:00        5.71
30.04.1966 00:00:00        5.71
01.05.1966 00:00:00        5.00
02.05.1966 00:00:00        5.00
03.05.1966 00:00:00        5.00
04.05.1966 00:00:00        5.00
05.05.1966 00:00:00        4.79
06.05.1966 00:00:00        4.57
07.05.1966 00:00:00        4.36
08.05.1966 00:00:00        3.93
09.05.1966 00:00:00        3.93
10.05.1966 00:00:00        3.56
11.05.1966 00:00:00        3.37
12.05.1966 00:00:00        3.19
13.05.1966 00:00:00        3.19
14.05.1966 00:00:00        3.19
15.05.1966 00:00:00        3.37
16.05.1966 00:00:00        3.37
17.05.1966 00:00:00        3.37
18.05.1966 00:00:00        3.37
19.05.1966 00:00:00        3.19
20.05.1966 00:00:00        3.00
21.05.1966 00:00:00        3.00
22.05.1966 00:00:00        2.84
23.05.1966 00:00:00        3.00
24.05.1966 00:00:00        4.57
25.05.1966 00:00:00        3.93
26.05.1966 00:00:00        3.56
27.05.1966 00:00:00        3.74
28.05.1966 00:00:00        3.74
29.05.1966 00:00:00        3.74
30.05.1966 00:00:00        3.56
31.05.1966 00:00:00        3.37
01.06.1966 00:00:00        3.37
02.06.1966 00:00:00        3.56
03.06.1966 00:00:00        3.37
04.06.1966 00:00:00        3.37
05.06.1966 00:00:00        3.37
06.06.1966 00:00:00        3.37
07.06.1966 00:00:00        3.37
08.06.1966 00:00:00        3.37
09.06.1966 00:00:00        3.19
10.06.1966 00:00:00        3.19
11.06.1966 00:00:00        3.00
12.06.1966 00:00:00        2.84
13.06.1966 00:00:00        2.68
14.06.1966 00:00:00        3.19
15.06.1966 00:00:00        3.19
16.06.1966 00:00:00        2.84
17.06.1966 00:00:00        2.68
18.06.1966 00:00:00        2.68
19.06.1966 00:00:00        3.19
20.06.1966 00:00:00        3.37
21.06.1966 00:00:00        3.19
22.06.1966 00:00:00        3.00
23.06.1966 00:00:00        2.84
24.06.1966 00:00:00        2.84
25.06.1966 00:00:00        3.00
26.06.1966 00:00:00        2.84
27.06.1966 00:00:00        3.19
28.06.1966 00:00:00        3.37
29.06.1966 00:00:00        3.56
30.06.1966 00:00:00        4.14
01.07.1966 00:00:00        4.36
02.07.1966 00:00:00        4.14
03.07.1966 00:00:00        3.74
04.07.1966 00:00:00        3.37
05.07.1966 00:00:00        3.37
06.07.1966 00:00:00        3.93
07.07.1966 00:00:00        3.93
08.07.1966 00:00:00        3.56
09.07.1966 00:00:00        3.37
10.07.1966 00:00:00        3.19
11.07.1966 00:00:00        3.00
12.07.1966 00:00:00        3.00
13.07.1966 00:00:00        2.68
14.07.1966 00:00:00        2.68
15.07.1966 00:00:00        4.57
16.07.1966 00:00:00        4.36
17.07.1966 00:00:00        4.14
18.07.1966 00:00:00        4.36
19.07.1966 00:00:00        4.57
20.07.1966 00:00:00        5.00
21.07.1966 00:00:00        5.24
22.07.1966 00:00:00        5.24
23.07.1966 00:00:00        5.71
24.07.1966 00:00:00        8.79
25.07.1966 00:00:00        9.35
26.07.1966 00:00:00        8.50
27.07.1966 00:00:00        7.94
28.07.1966 00:00:00        7.94
29.07.1966 00:00:00        7.38
30.07.1966 00:00:00        7.38
31.07.1966 00:00:00        7.14
01.08.1966 00:00:00        6.43
02.08.1966 00:00:00        5.71
03.08.1966 00:00:00        5.71
04.08.1966 00:00:00        5.48
05.08.1966 00:00:00        5.71
06.08.1966 00:00:00        6.19
07.08.1966 00:00:00        5.95
08.08.1966 00:00:00        5.71
09.08.1966 00:00:00        6.43
10.08.1966 00:00:00        5.95
11.08.1966 00:00:00        5.95
12.08.1966 00:00:00        5.71
13.08.1966 00:00:00        5.48
14.08.1966 00:00:00        5.00
15.08.1966 00:00:00        4.79
16.08.1966 00:00:00        5.71
17.08.1966 00:00:00        6.43
18.08.1966 00:00:00       20.1
19.08.1966 00:00:00       17.6
20.08.1966 00:00:00       14.3
21.08.1966 00:00:00       11.3
22.08.1966 00:00:00        8.96
23.08.1966 00:00:00        7.46
24.08.1966 00:00:00        7.46
25.08.1966 00:00:00        7.46
26.08.1966 00:00:00        7.46
27.08.1966 00:00:00        8.02
28.08.1966 00:00:00        7.74
29.08.1966 00:00:00        7.18
30.08.1966 00:00:00        6.62
31.08.1966 00:00:00        7.46
01.09.1966 00:00:00        6.90
02.09.1966 00:00:00        6.90
03.09.1966 00:00:00        6.62
04.09.1966 00:00:00        6.62
05.09.1966 00:00:00        6.62
06.09.1966 00:00:00        6.06
07.09.1966 00:00:00        5.78
08.09.1966 00:00:00        5.50
09.09.1966 00:00:00        5.50
10.09.1966 00:00:00        4.83
11.09.1966 00:00:00        4.83
12.09.1966 00:00:00        4.60
13.09.1966 00:00:00        4.38
14.09.1966 00:00:00        4.38
15.09.1966 00:00:00        4.15
16.09.1966 00:00:00        4.38
17.09.1966 00:00:00        4.15
18.09.1966 00:00:00        3.93
19.09.1966 00:00:00        3.48
20.09.1966 00:00:00        3.48
21.09.1966 00:00:00        3.25
22.09.1966 00:00:00        3.25
23.09.1966 00:00:00        3.07
24.09.1966 00:00:00        3.07
25.09.1966 00:00:00        3.07
26.09.1966 00:00:00        2.89
27.09.1966 00:00:00        2.89
28.09.1966 00:00:00        2.89
29.09.1966 00:00:00        2.70
30.09.1966 00:00:00        2.70
01.10.1966 00:00:00        2.70
02.10.1966 00:00:00        2.56
03.10.1966 00:00:00        2.56
04.10.1966 00:00:00        2.56
05.10.1966 00:00:00        2.56
06.10.1966 00:00:00        2.34
07.10.1966 00:00:00        2.34
08.10.1966 00:00:00        2.34
09.10.1966 00:00:00        2.19
10.10.1966 00:00:00        2.19
11.10.1966 00:00:00        2.19
12.10.1966 00:00:00        2.19
13.10.1966 00:00:00        2.19
14.10.1966 00:00:00        2.04
15.10.1966 00:00:00        2.04
16.10.1966 00:00:00        1.90
17.10.1966 00:00:00        2.04
18.10.1966 00:00:00        2.19
19.10.1966 00:00:00        1.90
20.10.1966 00:00:00        1.90
21.10.1966 00:00:00        1.90
22.10.1966 00:00:00        1.90
23.10.1966 00:00:00        1.90
24.10.1966 00:00:00        1.90
25.10.1966 00:00:00        1.75
26.10.1966 00:00:00        1.75
27.10.1966 00:00:00        1.75
28.10.1966 00:00:00        1.60
29.10.1966 00:00:00        1.75
30.10.1966 00:00:00        1.75
31.10.1966 00:00:00        1.60
01.11.1966 00:00:00        1.75
02.11.1966 00:00:00        1.75
03.11.1966 00:00:00        1.60
04.11.1966 00:00:00        1.60
05.11.1966 00:00:00        1.90
06.11.1966 00:00:00        1.75
07.11.1966 00:00:00        1.60
08.11.1966 00:00:00        1.49
09.11.1966 00:00:00        1.49
10.11.1966 00:00:00        1.49
11.11.1966 00:00:00        1.49
12.11.1966 00:00:00        1.60
13.11.1966 00:00:00        1.60
14.11.1966 00:00:00        1.49
15.11.1966 00:00:00        1.49
16.11.1966 00:00:00        1.60
17.11.1966 00:00:00        1.60
18.11.1966 00:00:00        1.60
19.11.1966 00:00:00        1.60
20.11.1966 00:00:00        1.60
21.11.1966 00:00:00        1.49
22.11.1966 00:00:00        1.49
23.11.1966 00:00:00        1.49
24.11.1966 00:00:00        1.49
25.11.1966 00:00:00        1.49
26.11.1966 00:00:00        1.37
27.11.1966 00:00:00        1.26
28.11.1966 00:00:00        1.14
29.11.1966 00:00:00        1.14
30.11.1966 00:00:00        1.14
01.12.1966 00:00:00        1.14
02.12.1966 00:00:00        1.26
03.12.1966 00:00:00        1.75
04.12.1966 00:00:00        1.49
05.12.1966 00:00:00        1.37
06.12.1966 00:00:00        1.37
07.12.1966 00:00:00        1.26
08.12.1966 00:00:00        1.37
09.12.1966 00:00:00        1.37
10.12.1966 00:00:00        1.37
11.12.1966 00:00:00        1.37
12.12.1966 00:00:00        1.26
13.12.1966 00:00:00        1.26
14.12.1966 00:00:00        1.26
15.12.1966 00:00:00        1.26
16.12.1966 00:00:00        1.37
17.12.1966 00:00:00        1.26
18.12.1966 00:00:00        1.37
19.12.1966 00:00:00        1.37
20.12.1966 00:00:00        1.37
21.12.1966 00:00:00        1.49
22.12.1966 00:00:00        1.37
23.12.1966 00:00:00        1.49
24.12.1966 00:00:00        1.37
25.12.1966 00:00:00        1.37
26.12.1966 00:00:00        1.37
27.12.1966 00:00:00        1.03
28.12.1966 00:00:00        1.03
29.12.1966 00:00:00        1.14
30.12.1966 00:00:00        1.26
31.12.1966 00:00:00        1.26
01.01.1967 00:00:00        1.26
02.01.1967 00:00:00        1.14
03.01.1967 00:00:00        1.14
04.01.1967 00:00:00        1.14
05.01.1967 00:00:00        1.14
06.01.1967 00:00:00        1.03
07.01.1967 00:00:00        1.03
08.01.1967 00:00:00        1.03
09.01.1967 00:00:00        1.03
10.01.1967 00:00:00        0.950
11.01.1967 00:00:00        0.950
12.01.1967 00:00:00        0.950
13.01.1967 00:00:00        1.03
14.01.1967 00:00:00        1.26
15.01.1967 00:00:00        1.14
16.01.1967 00:00:00        1.03
17.01.1967 00:00:00        1.03
18.01.1967 00:00:00        1.03
19.01.1967 00:00:00        0.950
20.01.1967 00:00:00        0.950
21.01.1967 00:00:00        0.950
22.01.1967 00:00:00        1.03
23.01.1967 00:00:00        1.03
24.01.1967 00:00:00        1.03
25.01.1967 00:00:00        1.14
26.01.1967 00:00:00        0.950
27.01.1967 00:00:00        0.950
28.01.1967 00:00:00        0.870
29.01.1967 00:00:00        0.870
30.01.1967 00:00:00        0.870
31.01.1967 00:00:00        0.870
01.02.1967 00:00:00        0.870
02.02.1967 00:00:00        0.950
03.02.1967 00:00:00        1.37
04.02.1967 00:00:00        1.90
05.02.1967 00:00:00        2.04
06.02.1967 00:00:00        1.90
07.02.1967 00:00:00        2.04
08.02.1967 00:00:00        2.04
09.02.1967 00:00:00        2.04
10.02.1967 00:00:00        1.75
11.02.1967 00:00:00        1.60
12.02.1967 00:00:00        1.26
13.02.1967 00:00:00        1.37
14.02.1967 00:00:00        1.26
15.02.1967 00:00:00        1.26
16.02.1967 00:00:00        1.26
17.02.1967 00:00:00        1.37
18.02.1967 00:00:00        1.49
19.02.1967 00:00:00        1.60
20.02.1967 00:00:00        1.49
21.02.1967 00:00:00        1.90
22.02.1967 00:00:00        2.19
23.02.1967 00:00:00        1.60
24.02.1967 00:00:00        1.75
25.02.1967 00:00:00        1.75
26.02.1967 00:00:00        1.75
27.02.1967 00:00:00        1.90
28.02.1967 00:00:00        2.19
01.03.1967 00:00:00        2.19
02.03.1967 00:00:00        2.19
03.03.1967 00:00:00        2.19
04.03.1967 00:00:00        2.19
05.03.1967 00:00:00        2.19
06.03.1967 00:00:00        2.34
07.03.1967 00:00:00        2.52
08.03.1967 00:00:00        2.70
09.03.1967 00:00:00        3.07
10.03.1967 00:00:00        3.48
11.03.1967 00:00:00        3.93
12.03.1967 00:00:00        4.38
13.03.1967 00:00:00        3.93
14.03.1967 00:00:00        3.70
